farm_id,year,total_salary,total_equipment_maintenance,total_fertilizer_cost,total_expenses
1,2010,10116.22,48987.82,0,59104.04
1,2011,11200.00,48987.82,0,60187.82
1,2012,12000.00,48987.82,0,60987.82
1,2013,46042.85,48987.82,0,95030.67
1,2014,28041.33,48987.82,0,77029.15
1,2015,11433.67,48987.82,0,60421.49
1,2016,13000.00,48987.82,0,61987.82
1,2017,48274.31,48987.82,0,97262.13
1,2018,25082.22,48987.82,0,74070.04
1,2019,31000.00,48987.82,0,79987.82
1,2020,36811.00,48987.82,4385.82,90184.64
1,2021,56728.24,48987.82,10795.98,116512.04
1,2022,59000.00,48987.82,14234.96,122222.78
1,2023,63000.00,48987.82,13919.61,125907.43
